Product ID;Active (0/1);Name *;Categories;Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags;Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order;Product available date;Product creation date;Show price;Image URLs;Image alt texts;Delete existing images;Feature(Name:Value:Position);Available online only;Condition;Customizable;Uploadable files;Text fields;Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories
;1;KR-04B1Z8 agyas lánckerék;Lánckerekek;7341;1;;0;;0;;;N-KR-10-04B1_Z8;;;Európai;;;;;;;;0.0;5 nap;14 nap;50;;;;;;db;7341;"Európai gyártmányú egysoros 8 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 8 fogszámú nem fogedzett agyas lánckerék;N-KR-10-04B1_Z8;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-04B1Z8 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:8:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-06B1Z10 agyas lánckerék;Lánckerekek;474;1;;0;;0;;;N-KR-10-06B1_Z10;;;Európai;;;;;;;;0.0;5 nap;14 nap;10;;;;;;db;474;"Európai gyártmányú egysoros 10 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 10 fogszámú nem fogedzett agyas lánckerék;N-KR-10-06B1_Z10;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-06B1Z10 agyas lánckerék;0;Típus:Agyas lánckerék:1,Fogedzett:Nem:2,Fogszám:10:3,Kivitel:Egysoros:4,Anyag:Acél:5;;;;;;;;;;;;;;;;
;1;KR-08B1Z8 agyas lánckerék;Lánckerekek;550;1;;0;;0;;;N-KR-10-08B1_Z8;;;Európai;;;;;;;;0.1;5 nap;14 nap;1;;;;;;db;550;"Európai gyártmányú egysoros 8 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 8 fogszámú nem fogedzett agyas lánckerék;N-KR-10-08B1_Z8;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-08B1Z8 agyas lánckerék;0;Fogszám:8:1,Kivitel:Egysoros:2,Anyag:Acél:3,Típus:Agyas lánckerék:4,Fogedzett:Nem:5;;;;;;;;;;;;;;;;
;1;KR-06B1Z12 agyas lánckerék;Lánckerekek;794;1;;0;;0;;;N-KR-10-06B1_Z12;;;Európai;;;;;;;;0.1;5 nap;14 nap;9;;;;;;db;794;"Európai gyártmányú egysoros 12 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 12 fogszámú nem fogedzett agyas lánckerék;N-KR-10-06B1_Z12;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-06B1Z12 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:12:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-04B1Z24 agyas lánckerék;Lánckerekek;7341;1;;0;;0;;;N-KR-10-04B1_Z24;;;Európai;;;;;;;;0.1;5 nap;14 nap;2;;;;;;db;7341;"Európai gyártmányú egysoros 24 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 24 fogszámú nem fogedzett agyas lánckerék;N-KR-10-04B1_Z24;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-04B1Z24 agyas lánckerék;0;Fogedzett:Nem:1,Fogszám:24:2,Kivitel:Egysoros:3,Anyag:Acél:4,Típus:Agyas lánckerék:5;;;;;;;;;;;;;;;;
;1;KR-08B1Z9 agyas lánckerék;Lánckerekek;832;1;;0;;0;;;N-KR-10-08B1_Z9;;;Európai;;;;;;;;0.1;5 nap;14 nap;0;;;;;;db;832;"Európai gyártmányú egysoros 9 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 9 fogszámú nem fogedzett agyas lánckerék;N-KR-10-08B1_Z9;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-08B1Z9 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:9:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-06B1Z13 agyas lánckerék;Lánckerekek;853;1;;0;;0;;;N-KR-4-06B1_Z13_G;;;Európai;;;;;;;;0.1;5 nap;14 nap;7;;;;;;db;853;"Európai gyártmányú egysoros 13 fogszámú igen fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 13 fogszámú igen fogedzett agyas lánckerék;N-KR-4-06B1_Z13_G;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-06B1Z13 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Igen:3,Fogszám:13:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-08B1Z10 agyas lánckerék;Lánckerekek;960;1;;0;;0;;;N-KR-10-08B1_Z10;;;Európai;;;;;;;;0.1;5 nap;14 nap;13;;;;;;db;960;"Európai gyártmányú egysoros 10 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 10 fogszámú nem fogedzett agyas lánckerék;N-KR-10-08B1_Z10;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-08B1Z10 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:10:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-06B1Z14 agyas lánckerék;Lánckerekek;947;1;;0;;0;;;N-KR-10-06B1_Z14;;;Európai;;;;;;;;0.1;5 nap;14 nap;19;;;;;;db;947;"Európai gyártmányú egysoros 14 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 14 fogszámú nem fogedzett agyas lánckerék;N-KR-10-06B1_Z14;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-06B1Z14 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:14:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-04B1Z28 agyas lánckerék;Lánckerekek;7341;1;;0;;0;;;N-KR-10-04B1_Z28;;;Európai;;;;;;;;0.1;5 nap;14 nap;1;;;;;;db;7341;"Európai gyártmányú egysoros 28 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 28 fogszámú nem fogedzett agyas lánckerék;N-KR-10-04B1_Z28;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-04B1Z28 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:28:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-08B1Z11 agyas lánckerék;Lánckerekek;1024;1;;0;;0;;;N-KR-10-08B1_Z11;;;Európai;;;;;;;;0.1;5 nap;14 nap;6;;;;;;db;1024;"Európai gyártmányú egysoros 11 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 11 fogszámú nem fogedzett agyas lánckerék;N-KR-10-08B1_Z11;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-08B1Z11 agyas lánckerék;0;Típus:Agyas lánckerék:1,Fogedzett:Nem:2,Fogszám:11:3,Kivitel:Egysoros:4,Anyag:Acél:5;;;;;;;;;;;;;;;;
;1;KR-08B1Z11 agyas lánckerék;Lánckerekek;1024;1;;0;;0;;;N-KR-4-08B1_Z11_G;;;Európai;;;;;;;;0.1;5 nap;14 nap;10;;;;;;db;1024;"Európai gyártmányú egysoros 11 fogszámú igen fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 11 fogszámú igen fogedzett agyas lánckerék;N-KR-4-08B1_Z11_G;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-08B1Z11 agyas lánckerék;0;Kivitel:Egysoros:1,Anyag:Acél:2,Típus:Agyas lánckerék:3,Fogedzett:Igen:4,Fogszám:11:5;;;;;;;;;;;;;;;;
;1;KR-06B1Z15 agyas lánckerék;Lánckerekek;960;1;;0;;0;;;N-KR-10-06B1_Z15;;;Európai;;;;;;;;0.1;5 nap;14 nap;5;;;;;;db;960;"Európai gyártmányú egysoros 15 fogszámú nem fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 15 fogszámú nem fogedzett agyas lánckerék;N-KR-10-06B1_Z15;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-06B1Z15 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Nem:3,Fogszám:15:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
;1;KR-06B1Z15 agyas lánckerék;Lánckerekek;960;1;;0;;0;;;N-KR-5-06B1_Z15_G;;;Európai;;;;;;;;0.1;5 nap;14 nap;3;;;;;;db;960;"Európai gyártmányú egysoros 15 fogszámú igen fogedzett agyas lánckerék.<p style='color: red;'>A lánckerék technikai furattal van ellátva. Amennyiben megmunkálva kívánja beszerezni, vegye fel a kapcsolatot a munkatársunkkal a kívánt furat méretének egyeztetése érdekében!</p><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!";;Lánckerék;Lánckerék;soros lánckerék;Európai gyártmányú egysoros 15 fogszámú igen fogedzett agyas lánckerék;N-KR-5-06B1_Z15_G;Raktáron;Rendelhető;1;;;1;http://localhost/product-images/N-KR-1.png,http://localhost/product-images/D-KR-1.png;KR-06B1Z15 agyas lánckerék;0;Anyag:Acél:1,Típus:Agyas lánckerék:2,Fogedzett:Igen:3,Fogszám:15:4,Kivitel:Egysoros:5;;;;;;;;;;;;;;;;
