product.sku;product_description.name.hu;product.weight;product.weight_class_id;product.image;product_to_category.category_name;product.manufacturer_id;product.product_class_id;attr_values.anyag.hu;attr_values.rogzites.hu;attr_values.csaptipus.hu;attr_values.szemforma.hu;attr_values.osztas;attr_values.belsoheveder;attr_values.gorgoatmero;attr_values.csapatmero;attr_values.csaphossz;attr_values.huvelyatmero;attr_values.fogszam;attr_values.fogedzett.hu;attr_values.kivitel.hu;attr_values.hevederek_szama.hu;attr_values.lanckerektipus.hu;attr_values.feluletkezeles.hu;product_special.price;product_special.date_start;product_special.date_end;product_description.short_description.hu;product.quantity_2;product.alapar;product.tax_class_id;product_description.quantity_name.hu;product_image.image.0;attr_values.huzal_atmero;attr_values.belso_hossz
N-GLPSZ-3-04C1;04 C-1 patentszem;0.01;Kg.;product/N-GLPSZ-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Egyenes;6,35;;;2,31;8,4;;;;;;;;;;;04C1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 6,35 mm., csaphosszúság: 8,4 mm., csapátmérő: 2,31 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;74.0;350.0;27.0;db;product/D-GLPSZ-1.png;;
N-SZL-9-11x31;11x31 mm DIN 766 kalibrált teherlánc;2.7;Kg.;product/N-SZL.png;Szemesláncok;Európai;Szemeslánc;Acél;;;;;;;;;;;;;;;Nincs;;;;Standard nincs, acél, 11 mm huzalátmérőjű, 31 mm belső hosszúságú <p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;994.95;3374.3;27.0;m;product/D-SZL.png;11;31
N-GL-1-08B1;08 B-1 görgőslánc;0.69;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;12,700;7,75;8,51;;;;;;;;;;;;;08B1: 1 soros, 12,700 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;713.83;1371.7;27.0;m;product/D-GL-1.png;;
N-SZL-9-10x28;10x28 mm DIN 766 kalibrált teherlánc;2.25;Kg.;product/N-SZL.png;Szemesláncok;Európai;Szemeslánc;Acél;;;;;;;;;;;;;;;Nincs;;;;Standard nincs, acél, 10 mm huzalátmérőjű, 28 mm belső hosszúságú <p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;138.0;2906.2;27.0;m;product/D-SZL.png;10;28
N-GL-8-208A1;208 A-1 ASA2040 nyújtott osztású görgőslánc;0.42;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,85;7,95;;;;;;;;;;;;;208A1: 1 soros, 25,4 mm. osztású, 7,85 mm belső hevedertávolságú, 7,95 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;83.0;8283.0;27.0;m;product/D-GL-1.png;;
N-GLPSZ-7-24B1;24 B-1 patentszem;0.27;Kg.;product/N-GLPSZ-1.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Egyenes;38,100;;;14,63;58,5;;;;;;;;;;;24B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 38,100 mm., csaphosszúság: 58,5 mm., csapátmérő: 14,63 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;94.0;3777.0;27.0;db;product/D-GLPSZ-1.png;;
N-GL-5-24B1;24 B-1 cseh görgőslánc;7.1;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;38,100;25,40;25,40;;;;;;;;;;;;;24B1: 1 soros, 38,100 mm. osztású, 25,40 mm belső hevedertávolságú, 25,40 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;42.89;22070.0;27.0;m;product/D-GL-1.png;;
N-GLPSZ-5-24B1;24 B-1 cseh patentszem;0.27;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;38,100;;;14,63;58,5;;;;;;;;;;;24B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 38,100 mm., csaphosszúság: 58,5 mm., csapátmérő: 14,63 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;49.0;2210.0;27.0;db;product/D-GLPSZ-1.png;;
N-GL-4-208A1;208 A-1 ASA2040 nyújtott osztású görgőslánc;0.42;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,85;7,95;;;;;;;;;;;;;208A1: 1 soros, 25,4 mm. osztású, 7,85 mm belső hevedertávolságú, 7,95 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;59.6;2201.1;27.0;m;product/D-GL-1.png;;
N-GL-6-208A1;208 A-1 ASA2040 nyújtott osztású cseh görgőslánc;0.42;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;25,4;7,85;7,95;;;;;;;;;;;;;208A1: 1 soros, 25,4 mm. osztású, 7,85 mm belső hevedertávolságú, 7,95 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;30.0;2201.1;27.0;m;product/D-GL-1.png;;
