product.sku,product_description.name.hu,product.weight,product.weight_class_id,product.image,product_to_category.category_name,product.manufacturer_id,product.product_class_id,attr_values.anyag.hu,attr_values.rogzites.hu,attr_values.csaptipus.hu,attr_values.szemforma.hu,attr_values.osztas,attr_values.belsoheveder,attr_values.gorgoatmero,attr_values.csapatmero,attr_values.csaphossz,attr_values.huvelyatmero,attr_values.fogszam,attr_values.fogedzett.hu,attr_values.kivitel.hu,attr_values.hevederek_szama.hu,attr_values.lanckerektipus.hu,attr_values.feluletkezeles.hu,product_special.price,product_special.date_start,product_special.date_end,product_description.short_description.hu,product.quantity_2,product.alapar,product.tax_class_id,product_description.quantity_name.hu,product_image.image.0,attr_values.huzal_atmero,attr_values.belso_hossz
N-CSCSGLPSZ-4-08B1,08B1 Acél Patentszem,0.0,kg.,product/N-CSCSGLPSZ-1.png,Patentszemek,Európai,Görgőslánc,Acél,Lemezes,Csőcsapos,Piskóta,12,,,"4,45","20,9",,,,Normál,,,,,,,"Európai 1 soros lemezes rögzítésű piskóta acél patentszem csőcsapos csappal. Osztás: 12 mm., csaphosszúság: 20,9 mm., csapátmérő: 4,45 mm.",145.0,528,27%,db,product/D-CSCSGLPSZ-1.png,,
N-CSCSGLPSZ-4-10B1,10B1 Acél Patentszem,0.0,kg.,product/N-CSCSGLPSZ-1.png,Patentszemek,Európai,Görgőslánc,Acél,Lemezes,Csőcsapos,Piskóta,"15,875",,,"5,08","23,7",,,,Normál,,,,,,,"Európai 1 soros lemezes rögzítésű piskóta acél patentszem csőcsapos csappal. Osztás: 15,875 mm., csaphosszúság: 23,7 mm., csapátmérő: 5,08 mm.",306.0,605,27%,db,product/D-CSCSGLPSZ-1.png,,
N-CSCSGLPSZ-5-12B1,12B1 Acél Patentszem,0.0,kg.,product/N-CSCSGLPSZ-1.png,Patentszemek,Európai,Görgőslánc,Acél,Lemezes,Csőcsapos,Piskóta,"19,05",,,"5,72","27,3",,,,Normál,,,,,,,"Európai 1 soros lemezes rögzítésű piskóta acél patentszem csőcsapos csappal. Osztás: 19,05 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.",52.0,984,27%,db,product/D-CSCSGLPSZ-1.png,,
N-CSCSGLPSZ-4-12B1,12B1 Acél Patentszem,0.0,kg.,product/N-CSCSGLPSZ-1.png,Patentszemek,Európai,Görgőslánc,Acél,Lemezes,Csőcsapos,Piskóta,"19,05",,,"5,72","27,3",,,,Normál,,,,,,,"Európai 1 soros lemezes rögzítésű piskóta acél patentszem csőcsapos csappal. Osztás: 19,05 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.",112.0,533,27%,db,product/D-CSCSGLPSZ-1.png,,
N-CSCSGLPSZ-3-12B1,12B1 Acél Patentszem,0.0,kg.,product/N-CSCSGLPSZ-1.png,Patentszemek,Távol-keleti,Görgőslánc,Acél,Lemezes,Csőcsapos,Piskóta,"19,05",,,"5,72","27,3",,,,Normál,,,,,,,"Távol-keleti 1 soros lemezes rögzítésű piskóta acél patentszem csőcsapos csappal. Osztás: 19,05 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.",20.0,825,27%,db,product/D-CSCSGLPSZ-1.png,,
N-CSCSGLPSZ-5-24B1,24B1 Acél Patentszem,0.3,kg.,product/N-CSCSGLPSZ-1.png,Patentszemek,Európai,Görgőslánc,Acél,Lemezes,Csőcsapos,Piskóta,38,,,"14,63","58,5",,,,Normál,,,,,,,"Európai 1 soros lemezes rögzítésű piskóta acél patentszem csőcsapos csappal. Osztás: 38 mm., csaphosszúság: 58,5 mm., csapátmérő: 14,63 mm.",4.0,984,27%,db,product/D-CSCSGLPSZ-1.png,,
N-CSCSGL-4-08B1,08B1 Görgőslánc,0.7,kg.,product/N-CSCSGL-1.png,Görgőslácok,Európai,Görgőslánc,Acél,,Csőcsapos,Piskóta,12,"7,75","8,51","4,45","20,9",,,,Normál,,,,,,,"Európai gyártmányú 1 soros, 12 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű normál acél görgőslánc.",32.5,3706,27%,m,product/D-CSCSGL-1.png,,
N-CSCSGL-3-08B1,08B1 Görgőslánc,0.7,kg.,product/N-CSCSGL-1.png,Görgőslácok,Távol-keleti,Görgőslánc,Acél,,Csőcsapos,Piskóta,12,"7,75","8,51","4,45","20,9",,,,Normál,,,,,,,"Távol-keleti gyártmányú 1 soros, 12 mm. osztású, 7,75 mm belső hevedertávolságú, 8,51 mm. görgőátmérőjű normál acél görgőslánc.",54.0,3706,27%,m,product/D-CSCSGL-1.png,,
N-CSCSGL-4-10B1,10B1 Görgőslánc,0.8,kg.,product/N-CSCSGL-1.png,Görgőslácok,Európai,Görgőslánc,Acél,,Csőcsapos,Piskóta,"15,875","9,65","10,16","5,08","23,7",,,,Normál,,,,,,,"Európai gyártmányú 1 soros, 15,875 mm. osztású, 9,65 mm belső hevedertávolságú, 10,16 mm. görgőátmérőjű normál acél görgőslánc.",159.0,3837,27%,m,product/D-CSCSGL-1.png,,
N-CSCSGL-4-12B1,12B1 Görgőslánc,1.2,kg.,product/N-CSCSGL-1.png,Görgőslácok,Európai,Görgőslánc,Acél,,Csőcsapos,Piskóta,"19,05","11,68","12,07","5,72","27,3",,,,Normál,,,,,,,"Európai gyártmányú 1 soros, 19,05 mm. osztású, 11,68 mm belső hevedertávolságú, 12,07 mm. görgőátmérőjű normál acél görgőslánc.",110.0,5336,27%,m,product/D-CSCSGL-1.png,,
